"REGION_ID","REGION"
"14","CAR"
"1","Region I"
"2","Region II"
"3","Region III"
"4","Region IV-A"
"17","MIMAROPA"
"5","Region V"
"6","Region VI"
"7","Region VII"
"8","Region VIII"
"9","Region IX"
"10","Region X"
"11","Region XI"
"12","Region XII"
"16","Region XIII"
"15","BARMM"
